assay_description,document_chembl_id,molecule_chembl_id,standard_units,standard_value,units,value,molecule_properties,pKi
Inhibition constant determined against Acetylcholinesterase (AChE) receptor.,CHEMBL1131149,CHEMBL11805,nM,0.104,nM,0.104,"{'alogp': '7.65', 'aromatic_rings': 2, 'full_molformula': 'C40H66N4O4', 'full_mwt': '666.99', 'hba': 6, 'hbd': 0, 'heavy_atoms': 48, 'mw_freebase': '666.99', 'np_likeness_score': '-0.51', 'num_ro5_violations': 2, 'psa': '65.56', 'qed_weighted': '0.09', 'ro3_pass': 'N', 'rtb': 27}",9.98296666070122
Inhibitory activity of compound against acetylcholinesterase from human erythrocytes,CHEMBL1136713,CHEMBL11805,nM,104.0,nM,104.0,"{'alogp': '7.65', 'aromatic_rings': 2, 'full_molformula': 'C40H66N4O4', 'full_mwt': '666.99', 'hba': 6, 'hbd': 0, 'heavy_atoms': 48, 'mw_freebase': '666.99', 'np_likeness_score': '-0.51', 'num_ro5_violations': 2, 'psa': '65.56', 'qed_weighted': '0.09', 'ro3_pass': 'N', 'rtb': 27}",6.982966660701219
Competitive inhibition constant for Acetylcholinesterase,CHEMBL1145289,CHEMBL11805,nM,104.0,nM,104.0,"{'alogp': '7.65', 'aromatic_rings': 2, 'full_molformula': 'C40H66N4O4', 'full_mwt': '666.99', 'hba': 6, 'hbd': 0, 'heavy_atoms': 48, 'mw_freebase': '666.99', 'np_likeness_score': '-0.51', 'num_ro5_violations': 2, 'psa': '65.56', 'qed_weighted': '0.09', 'ro3_pass': 'N', 'rtb': 27}",6.982966660701219
Inhibitory activity against human AChE,CHEMBL1145007,CHEMBL208599,nM,0.026,nM,0.026,"{'alogp': '4.86', 'aromatic_rings': 2, 'full_molformula': 'C18H19ClN2', 'full_mwt': '298.82', 'hba': 2, 'hbd': 1, 'heavy_atoms': 21, 'mw_freebase': '298.82', 'np_likeness_score': '0.00', 'num_ro5_violations': 0, 'psa': '38.91', 'qed_weighted': '0.76', 'ro3_pass': 'N', 'rtb': 1}",10.585026652029182
Inhibition of human AChE,CHEMBL1148525,CHEMBL208599,nM,0.026,nM,0.026,"{'alogp': '4.86', 'aromatic_rings': 2, 'full_molformula': 'C18H19ClN2', 'full_mwt': '298.82', 'hba': 2, 'hbd': 1, 'heavy_atoms': 21, 'mw_freebase': '298.82', 'np_likeness_score': '0.00', 'num_ro5_violations': 0, 'psa': '38.91', 'qed_weighted': '0.76', 'ro3_pass': 'N', 'rtb': 1}",10.585026652029182
Binding affinity to human AChE,CHEMBL1150386,CHEMBL208599,nM,0.67,10'-10M,6.7,"{'alogp': '4.86', 'aromatic_rings': 2, 'full_molformula': 'C18H19ClN2', 'full_mwt': '298.82', 'hba': 2, 'hbd': 1, 'heavy_atoms': 21, 'mw_freebase': '298.82', 'np_likeness_score': '0.00', 'num_ro5_violations': 0, 'psa': '38.91', 'qed_weighted': '0.76', 'ro3_pass': 'N', 'rtb': 1}",9.173925197299173
Inhibition constant determined against Acetylcholinesterase (AChE) receptor.,CHEMBL1131149,CHEMBL60745,nM,1.63,nM,1.63,"{'alogp': '1.98', 'aromatic_rings': 1, 'full_molformula': 'C10H16BrNO', 'full_mwt': '246.15', 'hba': 1, 'hbd': 1, 'heavy_atoms': 12, 'mw_freebase': '166.24', 'np_likeness_score': '0.56', 'num_ro5_violations': 0, 'psa': '20.23', 'qed_weighted': '0.67', 'ro3_pass': 'Y', 'rtb': 2}",8.787812395596042
Inhibitory activity of compound against acetylcholinesterase from human erythrocytes,CHEMBL1136713,CHEMBL95,nM,151.0,nM,151.0,"{'alogp': '2.70', 'aromatic_rings': 2, 'full_molformula': 'C13H14N2', 'full_mwt': '198.27', 'hba': 2, 'hbd': 1, 'heavy_atoms': 15, 'mw_freebase': '198.27', 'np_likeness_score': '-0.67', 'num_ro5_violations': 0, 'psa': '38.91', 'qed_weighted': '0.71', 'ro3_pass': 'Y', 'rtb': 0}",6.82102305270683
Competitive inhibition constant for Acetylcholinesterase,CHEMBL1145289,CHEMBL95,nM,151.0,nM,151.0,"{'alogp': '2.70', 'aromatic_rings': 2, 'full_molformula': 'C13H14N2', 'full_mwt': '198.27', 'hba': 2, 'hbd': 1, 'heavy_atoms': 15, 'mw_freebase': '198.27', 'np_likeness_score': '-0.67', 'num_ro5_violations': 0, 'psa': '38.91', 'qed_weighted': '0.71', 'ro3_pass': 'Y', 'rtb': 0}",6.82102305270683
Inhibition of human AChE,CHEMBL1148525,CHEMBL95,nM,137.0,nM,137.0,"{'alogp': '2.70', 'aromatic_rings': 2, 'full_molformula': 'C13H14N2', 'full_mwt': '198.27', 'hba': 2, 'hbd': 1, 'heavy_atoms': 15, 'mw_freebase': '198.27', 'np_likeness_score': '-0.67', 'num_ro5_violations': 0, 'psa': '38.91', 'qed_weighted': '0.71', 'ro3_pass': 'Y', 'rtb': 0}",6.863279432843593
