molecule_chembl_id,standard_value,mw_freebase,alogp,hba,hbd,psa,rtb,ro3_pass,pKi
CHEMBL11805,0.104,666.99,7.65,6,0,65.56,27,N,9.98296666070122
CHEMBL11805,104.0,666.99,7.65,6,0,65.56,27,N,6.982966660701219
CHEMBL11805,104.0,666.99,7.65,6,0,65.56,27,N,6.982966660701219
CHEMBL208599,0.026,298.82,4.86,2,1,38.91,1,N,10.585026652029182
CHEMBL208599,0.026,298.82,4.86,2,1,38.91,1,N,10.585026652029182
CHEMBL208599,0.67,298.82,4.86,2,1,38.91,1,N,9.173925197299173
CHEMBL60745,1.63,166.24,1.98,1,1,20.23,2,Y,8.787812395596042
CHEMBL95,151.0,198.27,2.70,2,1,38.91,0,Y,6.82102305270683
CHEMBL95,151.0,198.27,2.70,2,1,38.91,0,Y,6.82102305270683
CHEMBL95,137.0,198.27,2.70,2,1,38.91,0,Y,6.863279432843593
CHEMBL95,36.0,198.27,2.70,2,1,38.91,0,Y,7.443697499232712
CHEMBL95,36.0,198.27,2.70,2,1,38.91,0,Y,7.443697499232712
CHEMBL95,32.12,198.27,2.70,2,1,38.91,0,Y,7.493224463393356
CHEMBL95,35.7,198.27,2.70,2,1,38.91,0,Y,7.447331783887806
CHEMBL95,225.0,198.27,2.70,2,1,38.91,0,Y,6.647817481888637
CHEMBL95,101.0,198.27,2.70,2,1,38.91,0,Y,6.995678626217358
CHEMBL95,7.64,198.27,2.70,2,1,38.91,0,Y,8.11690664142431
CHEMBL95,109.75,198.27,2.70,2,1,38.91,0,Y,6.959595471085841
CHEMBL95,22.99,198.27,2.70,2,1,38.91,0,Y,7.638461028730721
CHEMBL95,282.5,198.27,2.70,2,1,38.91,0,Y,6.548981547844543
CHEMBL173309,12.2,695.05,8.43,6,0,65.56,29,N,7.913640169325252
CHEMBL1128,200.0,166.24,1.98,1,1,20.23,2,Y,6.698970004336019
CHEMBL1128,400.0,166.24,1.98,1,1,20.23,2,Y,6.3979400086720375
CHEMBL1128,790.0,166.24,1.98,1,1,20.23,2,Y,6.102372908709558
CHEMBL1128,4800.0,166.24,1.98,1,1,20.23,2,Y,5.318758762624412
CHEMBL1128,800.0,166.24,1.98,1,1,20.23,2,Y,6.096910013008056
CHEMBL1128,4800.0,166.24,1.98,1,1,20.23,2,Y,5.318758762624412
CHEMBL1128,4800.0,166.24,1.98,1,1,20.23,2,Y,5.318758762624412
CHEMBL102226,20000.0,262.44,3.53,3,0,26.30,9,N,4.698970004336019
CHEMBL102226,40000.0,262.44,3.53,3,0,26.30,9,N,4.3979400086720375
CHEMBL103873,2000.0,234.38,2.75,3,0,26.30,7,N,5.698970004336019
CHEMBL103873,3000.0,234.38,2.75,3,0,26.30,7,N,5.522878745280337
CHEMBL640,1000.0,235.33,1.34,3,2,58.36,6,N,6.0
CHEMBL640,1000.0,235.33,1.34,3,2,58.36,6,N,6.0
CHEMBL75121,21.7,415.49,5.11,5,0,51.91,7,N,7.663540266151471
CHEMBL75121,44.5,415.49,5.11,5,0,51.91,7,N,7.351639989019068
CHEMBL502,20.5,379.50,4.36,4,0,38.77,6,N,7.688246138944246
CHEMBL502,20.5,379.50,4.36,4,0,38.77,6,N,7.688246138944246
CHEMBL502,20.5,379.50,4.36,4,0,38.77,6,N,7.688246138944246
CHEMBL502,7.2,379.50,4.36,4,0,38.77,6,N,8.142667503568731
CHEMBL502,10.0,379.50,4.36,4,0,38.77,6,N,8.0
CHEMBL502,38.0,379.50,4.36,4,0,38.77,6,N,7.42021640338319
CHEMBL502,12.7,379.50,4.36,4,0,38.77,6,N,7.896196279044043
CHEMBL345124,7140.0,414.60,4.99,2,2,55.92,7,N,5.146301788223826
CHEMBL179455,1.49,638.88,7.00,6,5,104.90,14,N,8.826813731587725
CHEMBL361165,894.0,605.85,5.94,6,3,83.66,16,N,6.048662481204082
CHEMBL359719,2300.0,484.55,3.39,8,2,115.43,2,N,5.638272163982407
CHEMBL369772,1500.0,161.20,0.50,3,2,58.56,5,N,5.823908740944319
CHEMBL182596,1400.0,203.28,1.68,3,2,58.56,8,N,5.853871964321762
CHEMBL181445,360.0,245.36,2.85,3,2,58.56,11,N,6.443697499232712
CHEMBL181435,200.0,273.42,3.63,3,2,58.56,13,N,6.698970004336019
CHEMBL182696,300.0,301.47,4.41,3,2,58.56,15,N,6.522878745280337
CHEMBL183394,200.0,329.53,5.19,3,2,58.56,17,N,6.698970004336019
CHEMBL184316,130.0,357.58,5.97,3,2,58.56,19,N,6.886056647693163
CHEMBL366931,360.0,260.33,2.04,4,2,76.66,9,N,6.443697499232712
CHEMBL181867,250.0,302.42,3.21,4,2,76.66,12,N,6.6020599913279625
CHEMBL425165,150.0,344.50,4.38,4,2,76.66,15,N,6.823908740944319
CHEMBL185000,160.0,372.55,5.16,4,2,76.66,17,N,6.795880017344075
CHEMBL184946,160.0,400.60,5.94,4,2,76.66,19,N,6.795880017344075
CHEMBL185164,160.0,428.66,6.72,4,2,76.66,21,N,6.795880017344075
CHEMBL362685,170.0,456.71,7.50,4,2,76.66,23,N,6.769551078621726
CHEMBL8320,955.0,108.10,0.25,2,0,34.14,0,Y,6.019996628416254
CHEMBL364729,1670.0,245.88,2.52,2,0,34.14,0,Y,5.777283528852417
CHEMBL192627,163.0,245.88,2.52,2,0,34.14,0,Y,6.787812395596042
CHEMBL208092,16.5,514.80,7.47,4,3,62.97,10,N,7.782516055786093
CHEMBL395280,47.0,242.32,2.00,2,2,58.88,0,Y,7.327902142064283
CHEMBL210453,6.4,529.77,7.30,5,2,63.25,11,N,8.193820026016112
CHEMBL382423,15.7,486.75,6.84,4,3,62.97,10,N,7.804100347590766
CHEMBL536047,0.033,284.79,4.47,2,1,38.91,0,N,10.481486060122112
CHEMBL375126,48200.0,306.15,3.72,2,0,37.38,2,N,4.31695296176115
CHEMBL222752,3280.0,486.53,4.74,4,0,74.76,6,N,5.484126156288321
CHEMBL222856,104.0,666.99,7.65,6,0,65.56,27,N,6.982966660701219
CHEMBL385130,12.2,695.05,8.43,6,0,65.56,29,N,7.913640169325252
CHEMBL222904,5.67,691.01,7.65,6,0,65.56,21,N,8.246416941107093
CHEMBL225567,0.014,503.09,6.97,3,3,69.81,11,N,10.853871964321762
CHEMBL225198,0.009,517.12,7.36,3,3,69.81,12,N,11.045757490560675
CHEMBL223443,0.015,503.09,6.97,3,3,69.81,11,N,10.823908740944319
CHEMBL225326,0.02,581.99,7.73,3,3,69.81,11,N,10.698970004336019
CHEMBL225021,0.0017,503.09,6.97,3,3,69.81,11,N,11.769551078621726
CHEMBL433282,850.0,253.21,2.64,4,0,77.28,1,N,6.070581074285707
CHEMBL235289,903.0,272.17,2.04,6,0,120.42,2,N,6.044312249686494
CHEMBL52347,320.0,158.16,1.47,2,0,34.14,0,Y,6.494850021680094
CHEMBL402976,313700.0,209.25,1.19,4,1,54.46,4,N,3.503485481302255
CHEMBL537454,140200.0,278.14,2.50,4,1,54.46,4,N,3.85325198636936
CHEMBL3216883,316400.0,288.14,1.95,4,1,54.46,4,N,3.499763525174361
CHEMBL3216205,207700.0,243.69,1.85,4,1,54.46,4,N,3.682563503464901
CHEMBL254302,64400.0,293.17,2.64,3,1,51.22,4,N,4.1911141326401875
CHEMBL254300,115900.0,303.18,2.10,3,1,51.22,4,N,3.935916564036404
CHEMBL402977,150900.0,258.73,1.99,3,1,51.22,4,N,3.82131076022441
CHEMBL254299,159000.0,224.28,1.34,3,1,51.22,4,N,3.7986028756795487
CHEMBL231160,2.6,632.89,6.27,8,2,83.14,24,N,8.585026652029182
CHEMBL231160,2.6,632.89,6.27,8,2,83.14,24,N,8.585026652029182
CHEMBL231160,2.6,632.89,6.27,8,2,83.14,24,N,8.585026652029182
CHEMBL495711,1908.0,402.50,2.74,4,3,97.11,6,N,5.719421629631924
CHEMBL522073,6320.0,416.53,3.00,4,3,83.12,7,N,5.199282921717615
CHEMBL496946,11190.0,452.56,3.89,4,3,97.11,6,N,4.95116991347165
CHEMBL521874,4130.0,414.51,2.88,4,3,83.12,4,N,5.384049948343599
CHEMBL495712,2214.0,441.54,3.22,4,4,112.90,6,N,5.654822383457296
CHEMBL496126,3330.0,455.56,3.48,4,4,98.91,7,N,5.47755576649368
CHEMBL508778,7970.0,555.68,5.18,5,4,125.21,8,N,5.098541678603888
CHEMBL496127,34030.0,455.56,3.61,4,4,112.90,7,N,4.468138050904191
CHEMBL502244,130.0,527.67,5.26,5,4,108.14,8,N,6.886056647693163
CHEMBL525917,280.0,427.55,3.69,4,4,95.83,7,N,6.552841968657781
CHEMBL504571,15.4,693.89,5.97,8,5,146.37,13,N,7.8124792791635365
CHEMBL397271,6.21,593.78,4.40,7,5,134.06,12,N,8.20690839982342
CHEMBL451304,6.75,604.84,6.82,6,3,82.18,12,N,8.170696227168975
CHEMBL129108,27.9,523.79,9.09,4,1,37.81,11,N,7.554395796726403
CHEMBL129108,27.95,523.79,9.09,4,1,37.81,11,N,7.553618187777558
CHEMBL129108,28.0,523.79,9.09,4,1,37.81,11,N,7.552841968657781
CHEMBL481,50.5,586.69,4.09,9,1,114.20,4,N,7.296708621881338
CHEMBL464538,10.0,406.61,5.33,1,0,17.07,12,N,8.0
CHEMBL464538,10.0,406.61,5.33,1,0,17.07,12,N,8.0
CHEMBL464538,10.0,406.61,5.33,1,0,17.07,12,N,8.0
CHEMBL464538,50.0,406.61,5.33,1,0,17.07,12,N,7.301029995663981
CHEMBL464538,10.0,406.61,5.33,1,0,17.07,12,N,8.0
CHEMBL464538,50.0,406.61,5.33,1,0,17.07,12,N,7.301029995663981
CHEMBL464538,800.0,406.61,5.33,1,0,17.07,12,N,6.096910013008056
CHEMBL464538,50.0,406.61,5.33,1,0,17.07,12,N,7.301029995663981
CHEMBL1190,6000000.0,258.49,3.52,0,0,0.00,11,N,2.221848749616356
CHEMBL360055,37000.0,510.83,5.45,3,0,27.69,21,N,4.431798275933005
CHEMBL490660,1.63,526.73,7.85,4,2,49.84,8,N,8.787812395596042
CHEMBL507438,7.45,540.76,8.16,4,2,49.84,8,N,8.127843727251706
CHEMBL522286,13.27,516.69,7.44,5,2,62.98,8,N,7.877129077135565
