ChEMBL_ID,pKi,MolWt,LogP,TPSA,HBD,HBA,RotatableBonds,AromaticRings,HeavyAtoms,NumRings,NumSaturatedRings,NumAliphaticRings,MolMR,NumCarbons,NumNitrogens,NumOxygens,NumFluorines,NumHalogens
CHEMBL549,4.78,324.39900000000006,3.812980000000003,36.26,0,3,5,2,24,3,0,1,90.91400000000006,20,2,1,1,4
CHEMBL607,4.75,247.33799999999994,2.2131,29.54,0,3,3,1,18,2,1,1,71.48400000000005,15,1,2,0,3
CHEMBL904,7.13,233.31099999999995,2.0852999999999997,38.33,1,3,3,1,17,2,1,1,66.84070000000004,14,1,2,0,3
CHEMBL1708,7.01,329.3710000000001,3.326500000000002,39.72,1,4,4,2,24,4,1,2,88.17770000000006,19,1,3,1,5
CHEMBL11493,7.98,385.49800000000005,5.866300000000006,12.47,0,2,7,2,28,4,2,2,107.17400000000006,24,1,1,2,4
CHEMBL21859,7.67,401.4530000000002,4.095100000000003,38.77,0,4,5,2,29,4,2,2,104.21200000000005,23,1,3,2,6
CHEMBL22183,5.38,272.41700000000003,3.790020000000002,29.259999999999998,1,3,4,2,19,2,0,0,83.54740000000004,16,2,0,0,3
CHEMBL22216,6.77,337.286,4.244100000000003,29.259999999999998,1,3,4,2,19,2,0,0,86.51040000000005,15,2,0,0,4
CHEMBL22743,6.47,291.391,3.5308000000000024,23.47,1,3,5,2,20,2,0,0,80.27880000000003,16,1,1,1,4
CHEMBL23033,6.77,323.259,3.901900000000002,38.05,2,3,4,2,18,2,0,0,81.88310000000003,14,2,0,0,4
CHEMBL27336,8.66,263.812,4.3163000000000045,3.24,0,1,2,1,18,3,2,2,77.16400000000006,16,1,0,0,2
CHEMBL27748,7.66,520.6200000000001,5.142300000000005,42.010000000000005,0,5,9,3,38,5,1,2,142.6104999999999,31,2,3,2,7
CHEMBL28394,9.38,296.24100000000004,4.658800000000004,3.24,0,1,2,1,19,3,2,2,81.86600000000004,16,1,0,0,3
CHEMBL28414,7.28,504.62100000000015,5.726800000000006,24.94,0,4,9,3,37,5,1,2,142.76699999999985,31,2,2,2,6
CHEMBL28726,7.06,442.5500000000001,4.447700000000004,32.78,0,4,8,2,32,4,2,2,120.44000000000005,26,2,2,2,6
CHEMBL28867,7.24,490.59400000000016,5.1337000000000055,32.78,0,4,8,3,36,5,1,2,136.05849999999995,30,2,2,2,6
CHEMBL28897,8.19,474.59500000000025,5.718200000000006,15.71,0,3,8,3,35,5,1,2,136.21499999999995,30,2,1,2,5
CHEMBL28935,7.31,456.5770000000001,4.837800000000005,32.78,0,4,8,2,33,4,2,2,125.05700000000006,27,2,2,2,6
CHEMBL29000,7.08,428.52300000000014,4.057600000000003,32.78,0,4,8,2,31,4,2,2,115.82300000000005,25,2,2,2,6
CHEMBL34032,8.0,421.5310000000001,6.373100000000006,12.47,0,2,8,3,31,4,1,1,119.65500000000004,27,1,1,2,4
CHEMBL34372,7.2,451.5570000000001,6.381700000000007,21.700000000000003,0,3,9,3,33,4,1,1,126.20700000000005,28,1,2,2,5
CHEMBL34591,8.92,455.97600000000017,7.026500000000007,12.47,0,2,8,3,32,4,1,1,124.66500000000005,27,1,1,2,5
CHEMBL35045,8.1,451.55700000000013,6.381700000000007,21.700000000000003,0,3,9,3,33,4,1,1,126.20700000000005,28,1,2,2,5
CHEMBL35122,8.96,489.52800000000013,7.391900000000007,12.47,0,2,8,3,35,4,1,1,124.65700000000004,28,1,1,5,7
CHEMBL35411,7.8,471.5910000000002,7.526300000000007,12.47,0,2,8,4,35,5,1,1,137.16099999999994,31,1,1,2,4
CHEMBL36141,8.92,446.54100000000017,6.244780000000006,36.260000000000005,0,3,8,3,33,4,1,1,124.37000000000003,28,2,1,2,5
CHEMBL36419,8.64,439.5210000000002,6.512200000000006,12.47,0,2,8,3,32,4,1,1,119.61300000000004,27,1,1,3,5
CHEMBL43713,6.38,448.00600000000014,6.140700000000006,29.540000000000003,0,3,7,3,32,4,1,1,130.1,28,1,2,0,4
CHEMBL44922,7.28,399.9620000000002,5.3315000000000055,29.540000000000003,0,3,8,2,28,3,1,1,114.75300000000004,24,1,2,0,4
CHEMBL45111,5.55,264.75600000000003,2.7615000000000016,24.83,0,3,2,1,18,3,2,2,73.18400000000004,14,2,1,0,4
CHEMBL46536,7.28,368.908,4.7645000000000035,24.83,0,3,6,2,26,4,2,2,106.89000000000004,22,2,1,0,4
CHEMBL46773,6.0,340.85400000000004,4.331900000000003,24.83,0,3,4,2,24,4,2,2,97.40600000000003,20,2,1,0,4
CHEMBL47068,5.83,371.90800000000013,4.551300000000004,29.540000000000003,0,3,6,2,26,3,1,1,105.51900000000005,22,1,2,0,4
CHEMBL50674,7.62,350.46200000000016,3.6751000000000023,55.56,1,4,3,2,26,4,2,2,103.72740000000005,22,2,2,0,4
CHEMBL50886,5.99,377.48400000000015,4.295500000000004,46.61000000000001,0,4,4,2,28,4,2,2,109.31950000000006,24,1,3,0,4
CHEMBL50997,7.72,377.48400000000015,4.295500000000003,46.61000000000001,0,4,4,2,28,4,2,2,109.31950000000006,24,1,3,0,4
CHEMBL51454,7.23,365.4730000000001,4.101500000000003,38.77,0,4,4,2,27,4,2,2,105.86700000000006,23,1,3,0,4
CHEMBL51896,7.82,351.44600000000014,3.7985000000000024,49.77,1,4,3,2,26,4,2,2,100.97980000000005,22,1,3,0,4
CHEMBL52334,7.91,377.48400000000015,4.295500000000003,46.61000000000001,0,4,4,2,28,4,2,2,109.31950000000006,24,1,3,0,4
CHEMBL65917,6.7,291.782,3.234320000000002,42.160000000000004,0,4,2,2,20,3,1,1,78.08300000000004,15,3,1,0,5
CHEMBL70265,5.0,307.39700000000005,3.6273000000000026,38.25,0,4,6,3,23,3,0,0,93.64000000000006,19,3,1,0,4
CHEMBL70336,5.21,323.4650000000001,4.340600000000004,29.020000000000003,0,4,6,3,23,3,0,0,98.86900000000004,19,3,0,0,4
